origem,destino,distancia,nome_rua
259576101,2007042255,273.5954561699175,
259576101,597730194,767.5012914053931,Rodovia Anhanguera
259576108,2023807910,856.2085565724497,Rodovia Anhanguera
259577028,2358149979,634.8520004310046,Rodovia Anhanguera
259577028,2358149941,256.6942430217183,
353460798,2956284904,162.7489469395282,Rodovia Abrão Assed
353460798,8939489045,411.3645042596223,Saída 55 A
353466665,2003808506,42.87056815334522,
353466665,2003808541,61.42161601112844,
353466665,2003808539,415.78716530531295,
353471822,1666710276,55.005947526862556,Avenida do Café
353490126,2413741911,220.156069386974,Rodovia Alexandre Balbo
353490126,2413741926,137.09490047112965,
353490282,3045752613,326.02129178349634,Rua Açaí
353490282,2387953168,1446.1954425103615,Rodovia Antônio Machado Sant'Anna
353491699,9037422529,493.7917521457172,Rodovia Antônio Machado Sant'Anna
353499496,7817759474,306.07365476750994,Rodovia Prefeito Antônio Duarte Nogueira
492607160,2319131831,78.93477130225823,
492607160,2319131838,128.65068883551896,Avenida Marechal Costa e Silva
492607181,2319131910,38.88972671402981,Avenida Marechal Costa e Silva
492607181,2319131916,138.45793379250964,
492607190,1827933375,318.1865774397317,Avenida Marechal Costa e Silva
492623770,11071925722,11.325443271370254,Avenida Nove de Julho
492623770,1827686808,57.07044726808202,Rua Olavo Bilac
492623784,1827844413,89.8542432226076,Avenida Doutor Francisco Junqueira
492623849,1827728787,98.83462828092637,Avenida Maurílio Biagi
492623879,1827913505,86.54593325061644,Rua Fernando Costa
492623879,1827913502,102.08544280171651,Avenida Doutor Francisco Junqueira
492644764,8305030639,79.49958663478786,Avenida do Café
503727916,1828801437,179.66060969664977,Rodovia Antônio Machado Sant'Anna
503727984,3295125318,179.34697133518455,Rodovia Antonio Machado Santana
503727984,503728004,204.46071993309658,Trevo Waldo Adalberto da Silveira
503728004,2748899747,275.89033291754055,Trevo Waldo Adalberto da Silveira
503728029,8939489045,216.4639262450135,Rodovia Abrão Assed
503728029,503728033,164.75005944215042,Trevo Waldo Adalberto da Silveira
503728033,503728037,95.10985104851258,Trevo Waldo Adalberto da Silveira
503728037,2007087498,240.2295593374957,Avenida Presidente Castelo Branco
503728037,618766597,181.1338741846743,Trevo Waldo Adalberto da Silveira
503728121,1827817431,343.039389376272,Rodovia Anhanguera
503728121,503728133,1201.9498486341345,Rodovia Anhanguera
503728133,2923522629,602.8472504065778,Rodovia Anhanguera
597730194,3047621270,7.944971749383503,Rodovia Anhanguera
597730322,2193687828,64.25340613820458,Avenida Maurílio Biagi
597730322,1827717728,74.76917054690026,
597730375,2007042289,722.5504184022828,
597730375,12925923334,358.62601024871293,Rodovia Anhanguera
597730467,4704954764,138.97844029047516,Rua Doutor José Ribeiro Ferreira
597730467,1828802060,56.24585907367977,Avenida Doutor Celso Charuri
597730484,503727916,414.4637669252858,
597730484,618766350,461.4309119549282,"['Avenida Doutor Celso Charuri', 'Avenida Maurílio Biagi']"
597730499,2370686453,53.38408669204973,Avenida Maurílio Biagi
597730499,618766923,65.7001659632569,
597730616,2923524560,87.05831826310386,
597730616,2923524553,115.05089887214353,Avenida Doutor Celso Charuri
597730659,2007042201,259.43268329797877,Avenida Doutor Celso Charuri
597730662,8317802925,346.43074741556165,Avenida Doutor Celso Charuri
597730683,2193281353,161.84721366413834,Avenida Maurílio Biagi
618755597,1827655577,34.16298197624869,Avenida Antônio Diederichsen
618755597,1827583582,64.37808369571724,Avenida Presidente Vargas
618755620,618755623,45.21403778460447,
618755620,3062885855,104.34673404812801,Avenida Presidente Vargas
618755623,618755624,27.98526721786431,Avenida Presidente Vargas
618755624,1827656780,55.339265368771194,Avenida José Adolfo Bianco Molina
618755624,1827656724,49.56226742568279,Avenida Presidente Vargas
618755627,2190661587,53.72616002012136,
618755627,8305475947,237.29577980805817,Avenida Presidente Vargas
618755777,597730683,54.296838675509576,
618755777,618755886,46.45750136498022,
618755884,618755886,51.863092612006284,
618755884,597730683,110.33516090295525,"['Avenida Doutor Francisco Junqueira', 'Avenida Maurílio Biagi']"
618755886,2187588531,78.87276118868105,
618755891,1827583524,51.92576526949614,Rua João Godoy
618755891,1827583535,75.2151506731649,Avenida Portugal
618755933,1827686706,100.06676853170994,Rua Américo Brasiliense
618755933,1827686681,86.74528955426827,Rua Amadeu Amaral
618755937,1827686716,98.15724400143031,Avenida Doutor Francisco Junqueira
618755942,2266402980,24.446740249167988,Rua Florêncio de Abreu
618755942,1827686759,22.918945637712095,Avenida Doutor Francisco Junqueira
618755947,2334066937,9.358147858780148,Avenida Doutor Francisco Junqueira
618755947,2203727544,22.637686630976653,Rua Jácomo Tonetto
618756189,618755933,105.95478815049687,Rua Amadeu Amaral
618756189,1827686689,103.15787642448316,Rua Florêncio de Abreu
